geneID,Gene.Name,Gene.stable.ID,Subject.sequence.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Protein.annotations
gene600,LOC106917177,NA,NA,56.01660958,0.24301619,0.221692414,1.096186316,0.272997247,0.548216714,NA
gene1317,wdr82,NA,sp|Q6UXN9|WDR82_HUMAN,403.8404664,-0.110877347,0.101142985,-1.096243573,0.272972196,0.548216714,WD repeat-containing protein 82 OS=Homo sapiens GN=WDR82 PE=1 SV=1
gene15951,timp3,ENSPMEG00000011147,sp|P35625|TIMP3_HUMAN,699.0320631,0.332011895,0.302927483,1.096011137,0.273073901,0.548266857,Metalloproteinase inhibitor 3 OS=Homo sapiens GN=TIMP3 PE=1 SV=2
gene4265,sowahd,ENSPMEG00000023499,sp|A6NJG2|SWAHD_HUMAN,27.96702826,0.344140077,0.313988315,1.096028291,0.273066394,0.548266857,Ankyrin repeat domain-containing protein SOWAHD OS=Homo sapiens GN=SOWAHD PE=2 SV=1
gene15220,med4,ENSPMEG00000015924,sp|Q9NPJ6|MED4_HUMAN,110.8051432,0.265774032,0.242508515,1.095936908,0.273106386,0.548280193,Mediator of RNA polymerase II transcription subunit 4 OS=Homo sapiens GN=MED4 PE=1 SV=1
gene18714,LOC106930977,NA,NA,6.496128704,1.036688649,0.946130681,1.095714018,0.273203946,0.548424158,NA
gene12453,LOC106924224,ENSPMEG00000011186,sp|P78383|S35B1_HUMAN,123.9364034,0.265318479,0.242173419,1.095572259,0.273266007,0.548496841,Solute carrier family 35 member B1 OS=Homo sapiens GN=SLC35B1 PE=1 SV=1
gene29330,LOC106911304,NA,sp|P98174|FGD1_HUMAN,13.14681666,0.632655542,0.577588136,1.095340265,0.273367594,0.548596941,"FYVE, RhoGEF and PH domain-containing protein 1 OS=Homo sapiens GN=FGD1 PE=1 SV=2"
gene30687,LOC106912749,NA,NA,6.310769081,-1.040652744,0.950053625,-1.095362111,0.273358027,0.548596941,NA
gene26057,tti1,ENSPMEG00000019052,sp|O43156|TTI1_HUMAN,186.0920589,0.137161284,0.125243395,1.095157827,0.273447498,0.548686476,TELO2-interacting protein 1 homolog OS=Homo sapiens GN=TTI1 PE=1 SV=3
gene17676,LOC106929873,NA,NA,14.66202461,0.488836381,0.446376875,1.095120308,0.273463933,0.548686476,NA
gene8768,LOC106920207,ENSPMEG00000012051,sp|O94806|KPCD3_HUMAN,174.3315778,-0.185083329,0.169065613,-1.094742605,0.273629418,0.548916004,Serine/threonine-protein kinase D3 OS=Homo sapiens GN=PRKD3 PE=1 SV=1
gene4877,cbx1,ENSPMEG00000021994,sp|P83916|CBX1_HUMAN,95.74191261,-0.172982589,0.158020848,-1.094682068,0.273655947,0.548916004,Chromobox protein homolog 1 OS=Homo sapiens GN=CBX1 PE=1 SV=1
gene1196,LOC106923653,ENSPMEG00000023671,sp|Q05469|LIPS_HUMAN,169.9917067,-0.208009432,0.190012128,-1.094716608,0.27364081,0.548916004,Hormone-sensitive lipase OS=Homo sapiens GN=LIPE PE=1 SV=4
gene1624,LOC106928583,ENSPMEG00000007527,sp|Q9HB07|MYG1_HUMAN,264.0843756,-0.184825332,0.168900528,-1.094285106,0.273829955,0.549213115,"UPF0160 protein MYG1, mitochondrial OS=Homo sapiens GN=C12orf10 PE=1 SV=2"
gene3317,wnt9a,ENSPMEG00000006131,sp|O14904|WNT9A_HUMAN,39.84903233,0.425694032,0.389113806,1.094009068,0.273951001,0.549403955,Protein Wnt-9a OS=Homo sapiens GN=WNT9A PE=2 SV=2
gene1955,pou4f3,ENSPMEG00000018582,sp|Q15319|PO4F3_HUMAN,2.935557281,1.697741083,1.552203165,1.093762157,0.274059305,0.549569208,"POU domain, class 4, transcription factor 3 OS=Homo sapiens GN=POU4F3 PE=1 SV=1"
gene3773,LOC106914765,ENSPMEG00000000424,NA,2036.598443,0.298828946,0.273227385,1.093700565,0.274086326,0.549571449,NA
gene4286,LOC106915318,ENSPMEG00000022968,sp|Q6ZMQ8|LMTK1_HUMAN,56.64961716,0.352131763,0.322077675,1.093313166,0.274256324,0.549860345,Serine/threonine-protein kinase LMTK1 OS=Homo sapiens GN=AATK PE=1 SV=2
gene25319,bin2,ENSPMEG00000020941,sp|Q9UBW5|BIN2_HUMAN,3.70054354,1.117591811,1.022282802,1.093231549,0.274292148,0.549880206,Bridging integrator 2 OS=Homo sapiens GN=BIN2 PE=1 SV=3
gene28589,LOC106910504,NA,NA,28.85276846,-0.32586965,0.29810629,-1.093132416,0.274335665,0.549915483,NA
gene1568,commd6,ENSPMEG00000009603,sp|Q7Z4G1|COMD6_HUMAN,148.6375888,0.218044066,0.199505914,1.092920309,0.27442879,0.550050186,COMM domain-containing protein 6 OS=Homo sapiens GN=COMMD6 PE=1 SV=1
gene9243,rnf141,ENSPMEG00000013393,sp|Q8WVD5|RN141_HUMAN,91.0244497,-0.324926674,0.297321002,-1.092848038,0.274460526,0.550061828,RING finger protein 141 OS=Homo sapiens GN=RNF141 PE=1 SV=1
gene7927,sod3,ENSPMEG00000019273,sp|P08294|SODE_HUMAN,28.35609262,-0.451534222,0.41327984,-1.092562904,0.274585758,0.550260832,Extracellular superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD3 PE=1 SV=2
gene3976,egr3,ENSPMEG00000009732,sp|Q06889|EGR3_HUMAN,36.77845976,-0.464378374,0.425079449,-1.092450777,0.274635015,0.550307563,Early growth response protein 3 OS=Homo sapiens GN=EGR3 PE=2 SV=1
gene25910,ube2m,ENSPMEG00000001116,sp|P61081|UBC12_HUMAN,784.3062431,-0.131155979,0.12007836,-1.092253252,0.274721802,0.550318499,NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens GN=UBE2M PE=1 SV=1
gene10977,LOC106922589,ENSPMEG00000019983,sp|Q15468|STIL_HUMAN,41.75841423,-0.310330113,0.284103036,-1.092315372,0.274694506,0.550318499,SCL-interrupting locus protein OS=Homo sapiens GN=STIL PE=1 SV=2
gene31616,LOC106913698,NA,NA,8.365163848,-3.13811463,2.873027397,-1.092267562,0.274715514,0.550318499,NA
gene8832,LOC106920279,NA,NA,122.4025338,0.331043146,0.303096936,1.092202217,0.274744228,0.550318499,NA
gene1884,LOC106931719,ENSPMEG00000020830,NA,36.09027235,0.388040486,0.355359155,1.091967046,0.274847586,0.550473557,NA
gene20918,LOC106933384,ENSPMEG00000012286,sp|P56524|HDAC4_HUMAN,315.4555924,-0.180038232,0.16488583,-1.091896326,0.274878673,0.550483851,Histone deacetylase 4 OS=Homo sapiens GN=HDAC4 PE=1 SV=3
gene6977,LOC106918269,ENSPMEG00000009581,sp|Q6QHC5|DEGS2_HUMAN,543.939449,0.194228192,0.177934222,1.091572997,0.275020831,0.550716559,Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 OS=Homo sapiens GN=DEGS2 PE=1 SV=2
gene22355,LOC106903791,NA,sp|Q14264|ENR1_HUMAN,11.56546409,1.874674883,1.717514221,1.091504722,0.275050855,0.550724702,Endogenous retrovirus group 3 member 1 Env polyprotein OS=Homo sapiens GN=ERV3-1 PE=2 SV=2
gene16893,LOC106929042,ENSPMEG00000003084,sp|P19883|FST_HUMAN,47.3411756,0.29654107,0.271728832,1.091312499,0.2751354,0.550841997,Follistatin OS=Homo sapiens GN=FST PE=1 SV=2
gene4670,LOC106915734,ENSPMEG00000009084,sp|Q92543|SNX19_HUMAN,4.706998537,1.433969376,1.314161105,1.091167111,0.275199357,0.550918056,Sorting nexin-19 OS=Homo sapiens GN=SNX19 PE=1 SV=2
gene8370,LOC106919779,ENSPMEG00000005888,sp|O94901|SUN1_HUMAN,120.0792862,0.164865936,0.151109395,1.091036969,0.275256616,0.550928713,SUN domain-containing protein 1 OS=Homo sapiens GN=SUN1 PE=1 SV=3
gene2330,LOC106905832,NA,NA,2.687347804,-1.519063233,1.392247983,-1.091086682,0.275234743,0.550928713,NA
gene12749,LOC106924563,ENSPMEG00000021112,sp|Q6PFW1|VIP1_HUMAN,174.2577402,0.335356052,0.307422504,1.090863704,0.27533286,0.551029333,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 OS=Homo sapiens GN=PPIP5K1 PE=1 SV=1
gene25076,LOC106906730,ENSPMEG00000008553,sp|Q14254|FLOT2_HUMAN,71.41654527,-0.299189676,0.274290144,-1.090778078,0.275370545,0.551052771,Flotillin-2 OS=Homo sapiens GN=FLOT2 PE=1 SV=2
gene29452,LOC106911432,NA,sp|Q7Z698|SPRE2_HUMAN,23.94131913,0.407377181,0.37353291,1.090605859,0.275446351,0.551152483,"Sprouty-related, EVH1 domain-containing protein 2 OS=Homo sapiens GN=SPRED2 PE=1 SV=2"
gene26693,mvb12b,ENSPMEG00000000425,sp|Q9H7P6|MB12B_HUMAN,196.8202668,0.147079357,0.134914923,1.090163736,0.275641024,0.551325078,Multivesicular body subunit 12B OS=Homo sapiens GN=MVB12B PE=1 SV=2
gene3942,abhd14a,ENSPMEG00000011051,sp|Q9BUJ0|ABHEA_HUMAN,65.96961305,-0.284121987,0.260640541,-1.090091304,0.275672927,0.551325078,Alpha/beta hydrolase domain-containing protein 14A OS=Homo sapiens GN=ABHD14A PE=2 SV=2
gene8052,tnfaip6,ENSPMEG00000015374,sp|P98066|TSG6_HUMAN,10.24380429,-2.092337748,1.919572195,-1.090002113,0.275712213,0.551325078,Tumor necrosis factor-inducible gene 6 protein OS=Homo sapiens GN=TNFAIP6 PE=1 SV=2
gene26840,ppp3r1,ENSPMEG00000016567,sp|P63098|CANB1_HUMAN,74.52930776,0.249482717,0.228843422,1.090189591,0.275629637,0.551325078,Calcineurin subunit B type 1 OS=Homo sapiens GN=PPP3R1 PE=1 SV=2
gene23286,LOC106904800,ENSPMEG00000022492,sp|Q5PSV4|BRM1L_HUMAN,52.21882464,0.370163979,0.339542479,1.090184593,0.275631839,0.551325078,Breast cancer metastasis-suppressor 1-like protein OS=Homo sapiens GN=BRMS1L PE=1 SV=2
gene27319,LOC106909150,ENSPMEG00000023153,sp|Q9Y2X9|ZN281_HUMAN,113.3720933,-0.242752194,0.222709069,-1.089996895,0.275714512,0.551325078,Zinc finger protein 281 OS=Homo sapiens GN=ZNF281 PE=1 SV=1
gene275,LOC106910607,NA,sp|Q8N328|PGBD3_HUMAN,7.11933654,0.737620146,0.676539051,1.090284656,0.275587772,0.551325078,PiggyBac transposable element-derived protein 3 OS=Homo sapiens GN=PGBD3 PE=2 SV=3
gene25497,LOC106907189,ENSPMEG00000012916,sp|Q53HI1|UNC50_HUMAN,64.76180943,-0.284391542,0.260934007,-1.089898342,0.275757927,0.551359926,Protein unc-50 homolog OS=Homo sapiens GN=UNC50 PE=1 SV=2
gene20548,ccnh,ENSPMEG00000003493,sp|P51946|CCNH_HUMAN,107.9017378,0.224771853,0.20631,1.08948598,0.275939634,0.551658774,Cyclin-H OS=Homo sapiens GN=CCNH PE=1 SV=1
gene13497,tmc4,ENSPMEG00000017625,sp|Q7Z402|TMC7_HUMAN,8.388531803,-1.153987393,1.059247121,-1.089441142,0.275959397,0.551658774,Transmembrane channel-like protein 7 OS=Homo sapiens GN=TMC7 PE=2 SV=1
gene11159,LOC106922811,ENSPMEG00000014139,sp|Q92537|SUSD6_HUMAN,469.9946978,0.170950439,0.156973547,1.089039793,0.276136338,0.551943635,Sushi domain-containing protein 6 OS=Homo sapiens GN=SUSD6 PE=1 SV=1
gene29738,sdr16c5,ENSPMEG00000020843,sp|Q8N3Y7|RDHE2_HUMAN,65.86601755,-0.213374733,0.195938711,-1.088987121,0.276159565,0.551943635,Epidermal retinol dehydrogenase 2 OS=Homo sapiens GN=SDR16C5 PE=2 SV=2
gene49,tmem104,ENSPMEG00000022923,sp|Q8NE00|TM104_HUMAN,221.704648,0.165424499,0.1519132,1.088940917,0.276179941,0.551943635,Transmembrane protein 104 OS=Homo sapiens GN=TMEM104 PE=1 SV=2
gene26119,LOC106907850,ENSPMEG00000017105,sp|Q8NF37|PCAT1_HUMAN,37.78706135,0.476360051,0.437542962,1.088716065,0.276279115,0.552089828,Lysophosphatidylcholine acyltransferase 1 OS=Homo sapiens GN=LPCAT1 PE=1 SV=2
gene11508,epb41l2,ENSPMEG00000000479,sp|O43491|E41L2_HUMAN,285.7370379,-0.200683913,0.184419629,-1.088191717,0.276510481,0.552120843,Band 4.1-like protein 2 OS=Homo sapiens GN=EPB41L2 PE=1 SV=1
gene29482,LOC106911468,ENSPMEG00000002578,sp|P84098|RL19_HUMAN,1337.531181,0.184199056,0.169230564,1.088450283,0.276396373,0.552120843,60S ribosomal protein L19 OS=Homo sapiens GN=RPL19 PE=1 SV=1
gene27927,txndc12,ENSPMEG00000004406,sp|O95881|TXD12_HUMAN,525.1062935,-0.131840298,0.121158752,-1.088161576,0.276523784,0.552120843,Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1
gene21026,LOC106933497,ENSPMEG00000008986,sp|P20036|DPA1_HUMAN,827.5670692,0.29847374,0.274241598,1.088360562,0.276435964,0.552120843,"HLA class II histocompatibility antigen, DP alpha 1 chain OS=Homo sapiens GN=HLA-DPA1 PE=1 SV=1"
gene9985,fkbp10,ENSPMEG00000011661,sp|Q96AY3|FKB10_HUMAN,145.5327779,0.217613535,0.199969158,1.088235494,0.276491159,0.552120843,Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens GN=FKBP10 PE=1 SV=1
gene23295,psmg2,ENSPMEG00000022129,sp|Q969U7|PSMG2_HUMAN,455.8323009,-0.142167632,0.13064005,-1.088239266,0.276489494,0.552120843,Proteasome assembly chaperone 2 OS=Homo sapiens GN=PSMG2 PE=1 SV=1
gene23147,LOC106904642,NA,sp|P17036|ZNF3_HUMAN,14.76694423,-0.5016651,0.461025643,-1.0881501,0.27652885,0.552120843,Zinc finger protein 3 OS=Homo sapiens GN=ZNF3 PE=1 SV=3
gene3616,LOC106914587,NA,NA,5.848748761,-1.261775489,1.159072799,-1.088607627,0.276326952,0.552120843,NA
gene18301,LOC106930557,NA,NA,9.681429256,-0.513222605,0.471528531,-1.088423226,0.276408312,0.552120843,NA
gene587,rnf41,ENSPMEG00000001413,sp|Q9H4P4|RNF41_HUMAN,250.4673592,-0.131064635,0.120480552,-1.08784889,0.276661822,0.552334358,E3 ubiquitin-protein ligase NRDP1 OS=Homo sapiens GN=RNF41 PE=1 SV=2
gene13136,rsph3,ENSPMEG00000009092,sp|Q86UC2|RSPH3_HUMAN,15.43330217,-0.652652882,0.600090189,-1.087591323,0.276775563,0.552375971,Radial spoke head protein 3 homolog OS=Homo sapiens GN=RSPH3 PE=1 SV=1
gene2723,LOC106910520,ENSPMEG00000013563,sp|O15551|CLD3_HUMAN,42.46455586,0.450915504,0.414551838,1.087718019,0.276719611,0.552375971,Claudin-3 OS=Homo sapiens GN=CLDN3 PE=1 SV=1
gene2054,trmt5,ENSPMEG00000014848,sp|Q32P41|TRM5_HUMAN,54.96249468,-0.307145586,0.282415619,-1.087565859,0.27678681,0.552375971,tRNA (guanine(37)-N1)-methyltransferase OS=Homo sapiens GN=TRMT5 PE=1 SV=2
gene26839,pno1,ENSPMEG00000016589,sp|Q9NRX1|PNO1_HUMAN,874.0986548,-0.205482519,0.18892937,-1.087615542,0.276764867,0.552375971,RNA-binding protein PNO1 OS=Homo sapiens GN=PNO1 PE=1 SV=1
gene10248,kbtbd4,ENSPMEG00000021107,sp|Q9NVX7|KBTB4_HUMAN,66.22960452,0.252055027,0.231820414,1.087285726,0.276910555,0.552467024,Kelch repeat and BTB domain-containing protein 4 OS=Homo sapiens GN=KBTBD4 PE=1 SV=3
gene14511,mrps5,ENSPMEG00000023362,sp|P82675|RT05_HUMAN,365.0359491,0.161076265,0.148134808,1.087362701,0.276876548,0.552467024,"28S ribosomal protein S5, mitochondrial OS=Homo sapiens GN=MRPS5 PE=1 SV=2"
gene19243,fam92a1,NA,sp|A1XBS5|F92A1_HUMAN,28.15161781,0.324672005,0.298594292,1.087334933,0.276888816,0.552467024,Protein FAM92A1 OS=Homo sapiens GN=FAM92A1 PE=1 SV=2
gene5229,LOC106916347,ENSPMEG00000008458,sp|Q13362|2A5G_HUMAN,681.8696475,-0.232921634,0.214240824,-1.087195378,0.276950473,0.552494709,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Homo sapiens GN=PPP2R5C PE=1 SV=3
gene30406,LOC106912444,NA,sp|Q96JH8|RADIL_HUMAN,2.801015389,-1.342276156,1.234881499,-1.086967581,0.277051137,0.552591608,Ras-associating and dilute domain-containing protein OS=Homo sapiens GN=RADIL PE=1 SV=5
gene19730,LOC106932092,NA,sp|Q96JH8|RADIL_HUMAN,2.801015389,-1.342276156,1.234881499,-1.086967581,0.277051137,0.552591608,Ras-associating and dilute domain-containing protein OS=Homo sapiens GN=RADIL PE=1 SV=5
gene30921,LOC106913006,NA,NA,16.31609954,0.825057297,0.759149166,1.08681842,0.277117066,0.552671147,NA
gene13182,atg4b,ENSPMEG00000000820,sp|Q9Y4P1|ATG4B_HUMAN,183.5760871,0.13838143,0.127395,1.086239094,0.277373225,0.552672713,Cysteine protease ATG4B OS=Homo sapiens GN=ATG4B PE=1 SV=2
gene4166,gfer,ENSPMEG00000002959,sp|P55789|ALR_HUMAN,88.54783219,-0.245796687,0.226250249,-1.086393002,0.277305157,0.552672713,FAD-linked sulfhydryl oxidase ALR OS=Homo sapiens GN=GFER PE=1 SV=2
gene15441,LOC106927488,ENSPMEG00000008464,sp|Q9C0K7|STRAB_HUMAN,58.71809273,0.320183474,0.294660571,1.086617978,0.277205677,0.552672713,STE20-related kinase adapter protein beta OS=Homo sapiens GN=STRADB PE=1 SV=1
gene6510,sptssb,ENSPMEG00000008517,sp|Q8NFR3|SPTSB_HUMAN,20.6764983,-0.386112924,0.355471628,-1.086198992,0.277390963,0.552672713,Serine palmitoyltransferase small subunit B OS=Homo sapiens GN=SPTSSB PE=1 SV=1
gene29133,gemin4,ENSPMEG00000011665,sp|P57678|GEMI4_HUMAN,117.848811,-0.181948762,0.16748174,-1.086379697,0.27731104,0.552672713,Gem-associated protein 4 OS=Homo sapiens GN=GEMIN4 PE=1 SV=2
gene14258,LOC106926221,ENSPMEG00000011881,sp|Q9C0D6|FHDC1_HUMAN,304.3674539,-0.358597529,0.330047034,-1.086504323,0.277255929,0.552672713,FH2 domain-containing protein 1 OS=Homo sapiens GN=FHDC1 PE=1 SV=2
gene18473,aven,ENSPMEG00000013178,sp|Q15413|RYR3_HUMAN,26.89764125,0.309922558,0.285299529,1.086305885,0.277343684,0.552672713,Ryanodine receptor 3 OS=Homo sapiens GN=RYR3 PE=1 SV=3
gene6172,LOC106917384,ENSPMEG00000018678,sp|Q14012|KCC1A_HUMAN,606.6197793,-0.191024255,0.17581054,-1.086534714,0.277242491,0.552672713,Calcium/calmodulin-dependent protein kinase type 1 OS=Homo sapiens GN=CAMK1 PE=1 SV=1
gene7926,LOC106919293,ENSPMEG00000019287,sp|Q6ZUS6|CC149_HUMAN,105.5300311,0.19102824,0.175883002,1.086109729,0.277430449,0.552672713,Coiled-coil domain-containing protein 149 OS=Homo sapiens GN=CCDC149 PE=2 SV=2
gene13987,LOC106925917,ENSPMEG00000020175,sp|Q9BW60|ELOV1_HUMAN,727.3514636,-0.145422239,0.133891999,-1.08611598,0.277427683,0.552672713,Elongation of very long chain fatty acids protein 1 OS=Homo sapiens GN=ELOVL1 PE=1 SV=1
gene1262,LOC106924458,ENSPMEG00000020243,sp|Q8N5G2|MACOI_HUMAN,23.38569475,0.441635254,0.406497217,1.086441028,0.277283918,0.552672713,Macoilin OS=Homo sapiens GN=TMEM57 PE=1 SV=1
gene22049,LOC106903461,NA,NA,14.23966704,-0.952138667,0.876179854,-1.086693174,0.277172432,0.552672713,NA
gene6534,ubxn6,ENSPMEG00000007758,sp|Q9BZV1|UBXN6_HUMAN,192.9605339,-0.189834494,0.174801467,-1.086000574,0.277478738,0.552691248,UBX domain-containing protein 6 OS=Homo sapiens GN=UBXN6 PE=1 SV=1
gene27801,LOC106909672,NA,sp|O00268|TAF4_HUMAN,10.50977338,-0.879450291,0.809828576,-1.08597093,0.277491854,0.552691248,Transcription initiation factor TFIID subunit 4 OS=Homo sapiens GN=TAF4 PE=1 SV=2
gene6123,LOC106917319,NA,sp|Q99880|H2B1L_HUMAN,4.906314319,0.835645028,0.769743326,1.085615165,0.277649288,0.552952904,Histone H2B type 1-L OS=Homo sapiens GN=HIST1H2BL PE=1 SV=3
gene16959,sgms1,ENSPMEG00000022501,sp|Q86VZ5|SMS1_HUMAN,138.159485,0.260118353,0.239624721,1.085523862,0.277689701,0.552981481,Phosphatidylcholine:ceramide cholinephosphotransferase 1 OS=Homo sapiens GN=SGMS1 PE=1 SV=2
gene10139,prkrip1,NA,sp|Q9H875|PKRI1_HUMAN,102.7469808,0.245653929,0.226354908,1.085260008,0.277806513,0.553162176,PRKR-interacting protein 1 OS=Homo sapiens GN=PRKRIP1 PE=1 SV=1
gene13706,plekhm3,ENSPMEG00000010713,sp|Q6ZWE6|PKHM3_HUMAN,97.84413429,-0.217690106,0.200599668,-1.085196739,0.277834528,0.553166043,Pleckstrin homology domain-containing family M member 3 OS=Homo sapiens GN=PLEKHM3 PE=2 SV=2
gene19143,LOC106931453,ENSPMEG00000011466,sp|P61966|AP1S1_HUMAN,149.2294217,0.202741574,0.186864219,1.08496734,0.277936121,0.553257977,AP-1 complex subunit sigma-1A OS=Homo sapiens GN=AP1S1 PE=1 SV=1
gene24028,LOC106905602,ENSPMEG00000018807,sp|Q9ULJ8|NEB1_HUMAN,50.00515378,-0.364636214,0.336096316,-1.084915832,0.277958935,0.553257977,Neurabin-1 OS=Homo sapiens GN=PPP1R9A PE=1 SV=2
gene23098,LOC106904599,NA,NA,10.96938342,0.504879049,0.465349588,1.084945731,0.277945692,0.553257977,NA
gene977,LOC106921140,ENSPMEG00000000024,NA,56.87932657,-0.266288005,0.245461537,-1.084846156,0.277989799,0.553267503,NA
gene6333,LOC106917571,ENSPMEG00000014089,sp|Q9BV35|SCMC3_HUMAN,307.6778603,-0.283755718,0.261611912,-1.084643722,0.278079482,0.553342177,Calcium-binding mitochondrial carrier protein SCaMC-3 OS=Homo sapiens GN=SLC25A23 PE=1 SV=2
gene23955,LOC106905520,ENSPMEG00000021170,sp|Q8NBU5|ATAD1_HUMAN,123.7154979,-0.148660776,0.137057967,-1.084656223,0.278073944,0.553342177,ATPase family AAA domain-containing protein 1 OS=Homo sapiens GN=ATAD1 PE=1 SV=1
gene3385,tstd3,ENSPMEG00000000614,sp|H0UI37|TSTD3_HUMAN,14.35907439,-0.397247888,0.366294823,-1.084503147,0.278141772,0.553392875,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 OS=Homo sapiens GN=TSTD3 PE=3 SV=1
gene8947,LOC106920403,NA,NA,2.405891785,1.939573118,1.788501117,1.084468497,0.278157128,0.553392875,NA
gene8155,comtd1,ENSPMEG00000000229,sp|Q86VU5|CMTD1_HUMAN,844.005926,0.182666634,0.168472767,1.084250217,0.278253872,0.553403424,Catechol O-methyltransferase domain-containing protein 1 OS=Homo sapiens GN=COMTD1 PE=1 SV=1
gene15047,LOC106927060,ENSPMEG00000004706,sp|Q16513|PKN2_HUMAN,435.8273194,0.241507493,0.222747452,1.084221126,0.278266767,0.553403424,Serine/threonine-protein kinase N2 OS=Homo sapiens GN=PKN2 PE=1 SV=1
gene24740,LOC106906362,NA,sp|Q3ZCX4|ZN568_HUMAN,17.62071759,-0.488441513,0.45043332,-1.084381398,0.278195728,0.553403424,Zinc finger protein 568 OS=Homo sapiens GN=ZNF568 PE=2 SV=2
gene26110,LOC106907842,NA,sp|P33527|MRP1_HUMAN,88.285194,-0.292072636,0.269369492,-1.084282537,0.278239546,0.553403424,Multidrug resistance-associated protein 1 OS=Homo sapiens GN=ABCC1 PE=1 SV=3
gene23163,LOC106904673,ENSPMEG00000001419,NA,1851.500227,0.144537173,0.133340291,1.08397223,0.278377112,0.553519101,NA
gene22865,LOC106904349,NA,sp|Q14258|TRI25_HUMAN,14.05170275,0.651661987,0.601163093,1.084001986,0.278363918,0.553519101,E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens GN=TRIM25 PE=1 SV=2
gene14999,kcnq4,ENSPMEG00000005665,sp|P56696|KCNQ4_HUMAN,164.2294432,0.286157785,0.264017848,1.08385773,0.278427884,0.553568174,Potassium voltage-gated channel subfamily KQT member 4 OS=Homo sapiens GN=KCNQ4 PE=1 SV=2
gene26152,LOC106907889,ENSPMEG00000014114,sp|Q16526|CRY1_HUMAN,216.1989766,0.190711619,0.175977967,1.083724413,0.278487008,0.553633841,Cryptochrome-1 OS=Homo sapiens GN=CRY1 PE=1 SV=1
gene11049,malt1,ENSPMEG00000017485,sp|Q9UDY8|MALT1_HUMAN,283.4229063,0.166706467,0.153839249,1.083640667,0.278524152,0.553655806,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 OS=Homo sapiens GN=MALT1 PE=1 SV=1
gene13616,LOC106925500,ENSPMEG00000013554,sp|P13497|BMP1_HUMAN,4.035685149,1.620147826,1.495393358,1.083425854,0.278619445,0.553793343,Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2
gene18669,LOC106930932,NA,sp|Q9NUV9|GIMA4_HUMAN,198.730625,-0.163401457,0.150836924,-1.083298787,0.278675823,0.553853515,GTPase IMAP family member 4 OS=Homo sapiens GN=GIMAP4 PE=1 SV=1
gene8961,mgat1,ENSPMEG00000006646,sp|P26572|MGAT1_HUMAN,448.3779495,-0.153754956,0.141948377,-1.083175162,0.278730682,0.553910655,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens GN=MGAT1 PE=1 SV=2"
gene10750,ak5,NA,sp|Q9Y6K8|KAD5_HUMAN,57.10523954,-0.329016358,0.303780802,-1.083071596,0.278776645,0.553950108,Adenylate kinase isoenzyme 5 OS=Homo sapiens GN=AK5 PE=1 SV=2
gene4027,dennd4c,ENSPMEG00000007366,sp|Q5VZ89|DEN4C_HUMAN,598.4904337,0.219442682,0.202638306,1.082927931,0.278840413,0.553973051,DENN domain-containing protein 4C OS=Homo sapiens GN=DENND4C PE=1 SV=2
gene30941,LOC106913021,ENSPMEG00000015069,sp|Q9UPQ4|TRI35_HUMAN,73.90098739,0.429704065,0.396784127,1.082966873,0.278823127,0.553973051,Tripartite motif-containing protein 35 OS=Homo sapiens GN=TRIM35 PE=1 SV=2
gene23145,LOC106904636,ENSPMEG00000001520,sp|Q9BXP5|SRRT_HUMAN,334.3377097,0.159283283,0.147121112,1.082667751,0.278955923,0.553977225,Serrate RNA effector molecule homolog OS=Homo sapiens GN=SRRT PE=1 SV=1
gene10508,LOC106922127,ENSPMEG00000001751,sp|Q02252|MMSA_HUMAN,189.8833341,-0.206369,0.190633229,-1.082544742,0.279010546,0.553977225,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens GN=ALDH6A1 PE=1 SV=2"
gene21870,chrna1,ENSPMEG00000007704,sp|P02708|ACHA_HUMAN,30.4563443,0.630688683,0.582619786,1.082504744,0.279028308,0.553977225,Acetylcholine receptor subunit alpha OS=Homo sapiens GN=CHRNA1 PE=1 SV=2
gene15302,lsm14a,ENSPMEG00000012886,sp|Q9BX40|LS14B_HUMAN,416.0332439,-0.142084669,0.131265911,-1.082418638,0.27906655,0.553977225,Protein LSM14 homolog B OS=Homo sapiens GN=LSM14B PE=1 SV=1
